rank,prev_rank,name,league,off,def,spi
410,416,Real Zaragoza,Spanish Segunda Division,1.05,1.6,33.1
411,443,Viking FK,Norwegian Tippeligaen,1.31,1.96,32.94
412,382,Yeni Malatyaspor,Turkish Turkcell Super Lig,1.06,1.63,32.9
413,414,Valenciennes,French Ligue 2,0.88,1.4,32.82
414,408,AD Alcorcon,Spanish Segunda Division,0.94,1.48,32.67
415,407,Real Oviedo,Spanish Segunda Division,0.91,1.45,32.67
416,411,Shenzhen FC,Chinese Super League,1.19,1.81,32.64
417,431,Erzurumspor,Turkish Turkcell Super Lig,1.03,1.61,32.53
418,,Castellon,Spanish Segunda Division,1.03,1.63,32.21
419,434,Montreal Impact,Major League Soccer,1.09,1.72,32.16
420,397,ADO Den Haag,Dutch Eredivisie,1.14,1.79,32.06
421,417,AC Ajaccio,French Ligue 2,0.85,1.4,32.03
422,426,Urawa Red Diamonds,Japanese J League,1.16,1.82,31.97
423,412,Cercle Brugge,Belgian Jupiler League,1.02,1.63,31.95
424,419,Perth Glory,Australian A-League,1.09,1.72,31.9
425,459,Sonderjyske,Danish SAS-Ligaen,1.0,1.61,31.88
426,420,Newcastle Jets,Australian A-League,1.11,1.76,31.86
427,404,VfL Osnabruck,German 2. Bundesliga,1.07,1.71,31.73
428,415,Karlsruher SC,German 2. Bundesliga,1.05,1.69,31.72
429,,FC Cartagena,Spanish Segunda Division,0.98,1.59,31.61
430,424,SpVgg Greuther Fürth,German 2. Bundesliga,1.02,1.65,31.58
431,410,Genclerbirligi,Turkish Turkcell Super Lig,0.98,1.59,31.54
432,524,Ipswich Town,English League One,0.97,1.58,31.51
433,454,Paris FC,French Ligue 2,0.9,1.49,31.43
434,445,Nashville SC,Major League Soccer,0.93,1.54,31.35
435,422,Mirandes,Spanish Segunda Division,0.97,1.61,31.15
436,455,KV Oostende,Belgian Jupiler League,0.98,1.63,31.02
437,439,AIK,Swedish Allsvenskan,0.87,1.47,30.96
438,,CD Sabadell,Spanish Segunda Division,1.0,1.66,30.85
439,450,Reno 1868 FC,United Soccer League,1.22,1.96,30.78
440,438,Albacete,Spanish Segunda Division,0.82,1.42,30.71
441,430,San Antonio FC,United Soccer League,1.17,1.9,30.59
442,485,Valerenga,Norwegian Tippeligaen,1.07,1.78,30.55
443,427,Ankaragucu,Turkish Turkcell Super Lig,0.96,1.63,30.49
444,465,Grenoble,French Ligue 2,0.95,1.62,30.4
445,429,Fortuna Sittard,Dutch Eredivisie,1.07,1.78,30.38
446,,Logrones,Spanish Segunda Division,0.96,1.64,30.31
447,457,IK Sirius,Swedish Allsvenskan,1.16,1.92,30.21
448,446,FC Vaduz,Swiss Raiffeisen Super League,0.96,1.65,30.19
449,448,Wellington Phoenix,Australian A-League,1.1,1.83,30.17
450,451,Panetolikos,Greek Super League,0.86,1.51,30.07
451,452,Colon Santa Fe,Argentina Primera Division,0.83,1.48,29.95
452,440,Lugo,Spanish Segunda Division,0.88,1.55,29.82
453,458,Godoy Cruz,Argentina Primera Division,0.94,1.64,29.76
454,466,SuperSport United,South African ABSA Premier League,0.81,1.46,29.64
455,462,Vejle,Danish SAS-Ligaen,1.01,1.74,29.63
456,460,Jahn Regensburg,German 2. Bundesliga,1.04,1.8,29.52
457,449,FC Trenkwalder Admira,Austrian T-Mobile Bundesliga,1.0,1.74,29.44
458,468,Adelaide United,Australian A-League,1.22,2.05,29.37
459,475,Mazatlán FC,Mexican Primera Division Torneo Apertura,0.88,1.59,29.34
460,469,Sochaux,French Ligue 2,0.81,1.49,29.33
461,464,IFK Goteborg,Swedish Allsvenskan,0.98,1.73,29.27
462,432,Denizlispor,Turkish Turkcell Super Lig,0.93,1.66,29.11
463,444,DC United,Major League Soccer,0.93,1.67,29.07
464,463,Kilmarnock,Scottish Premiership,0.93,1.67,28.96
465,453,Auxerre,French Ligue 2,0.82,1.52,28.91
466,447,RKC,Dutch Eredivisie,1.03,1.82,28.9
467,473,Erzgebirge Aue,German 2. Bundesliga,0.94,1.69,28.82
468,489,FC St. Pauli,German 2. Bundesliga,0.99,1.77,28.78
469,472,Chievo Verona,Italy Serie B,0.85,1.58,28.59
